Transportadora;Email;Cidade;UF
SUED Logística;comercial@suedlogistica.com;VITORIA;ES
SUPERAÇÃO Transporte;comercialmatriz@superacaotransporte.com.br;VITORIA;ES
SUZARTE;contatosp@suzartetransportes.com.br;VITORIA;ES
TADEX;tadex@tadex.com.br;VITORIA;ES
TAMBAÚ;comercial@rapidotambau.com.br;VITORIA;ES
TB CARGO;brunno@tbcargo.com.br;VITORIA;ES
TCM Express;gerencia.sp@expresstcm.com.br;VITORIA;ES
TEIMALOG;comercial@teimalog.com.br;VITORIA;ES
TESLLA;transportes@tesllalogistica.com;VITORIA;ES
TFE ;contato@tfetransportes.com.br;VITORIA;ES
TRAGA-Garcia São Carlos;cotacao@traga.com.br;VITORIA;ES
TRANS DNL;comercial@transdnl.com.br;VITORIA;ES
TRANS IMPÉRIO Rodoaéreo;cotacao@transimperio.com;VITORIA;ES
TRANSARIMATÉIA;transarimateiabauru@uol.com.br;VITORIA;ES
TRANSCARGA São Carlos;ttsp@terra.com.br;VITORIA;ES
TRANSCHICÃO;coleta@transchicao.com.br;VITORIA;ES
TRANSCORTEZ;gerenciacomercial@transcortez.com;VITORIA;ES
TRANSDEL LOG;fabricio.comercial@transdel.net;VITORIA;ES
TRANSFACE;comercial.sp02@transface.com.br;VITORIA;ES
TRANSHIZZA;emerson@transhizza.com.br;VITORIA;ES
TRANSITA;transita@transita.com.br;VITORIA;ES
TRANSLOGAALMEIDA;translogoaalmeidasp@gmail.com;VITORIA;ES
TRANSMISAN;compras@transmisan.com.br;VITORIA;ES
TRANSNORTEX;comercial.sp@transnortex.com.br;VITORIA;ES
TRANSOUZA;transouzasp@hotmail.com;VITORIA;ES
TRANSPALOTA;cotacao@transpalota.com.br;VITORIA;ES
TRANSPAULA;comercial@transpaula.com.br;VITORIA;ES
TRANSPAULISTANA SP;transpaulistana.sp@hotmail.com;VITORIA;ES
TRANSPEN Cargas;logistica@transpen.com.br;VITORIA;ES
TRANSR Sorocaba;contato@transrsorocaba.com.br;VITORIA;ES
TRANSTAVARES;comercial@transtavares.com;VITORIA;ES
TRANSVOAR;comercial1@transvoar.com.br;VITORIA;ES
TRANSWELL'S;transwells@transwells.com.br;VITORIA;ES
TRANSZECÃO;coleta@transzecao.com.br;VITORIA;ES
TRAVEL EXPRESS;comercial@travelexpresslog.com.br;VITORIA;ES
TRNLOG Rodoviário Nasa;thais@trnlog.com.br;VITORIA;ES
TRUCKS Transportes;contato@ricardotruck.com.br;VITORIA;ES
TUPILOG;cotacao@tupilog.com.br;VITORIA;ES
UNI BRASIL;adm@unibrasiltransportes.com.br;VITORIA;ES
VELFRANZ LOG;velfranzlog@gmail.com;VITORIA;ES
VIA MUNDO;contato.transvias@viamundotransportes.com.br;VITORIA;ES
VIA SP Transporte;venancioweriton@gmail.com;VITORIA;ES
VISÃO Transportes;visao-express@bol.com.br;VITORIA;ES
VNT;vnt@vnttransportadora.com.br;VITORIA;ES
VOO Transportes;comercialmtz02@vootransportes.com.br;VITORIA;ES
VSJ Express;comercial@vsjexpress.com.br;VITORIA;ES
WELL Rápido Well;cotacao@rapidowell.com.br;VITORIA;ES
WINNER BRASIL;viviane.winner@winnerbrasillog.com.br;VITORIA;ES
WRJ Logística;cotacaosp@wrjlogistica.com.br;VITORIA;ES
X-LOG Transportes;vendas01@x-logtransportes.com.br;VITORIA;ES
1ª AÇÃO Transportes;comercial@transportesacao.com.br;GOIANIA;GO
3A Logística;comercial@3alt.com.br;GOIANIA;GO
5 COMETAS;comercial2@5cometas.com.br;GOIANIA;GO
A&M LOG Transportes;comercial@amlogtransportes.com.br;GOIANIA;GO
ABEA Transportes;abeatransportes@abeatransportes.com.br;GOIANIA;GO
ACORRETA;acorreta@acorreta.com.br;GOIANIA;GO
ADESSO Transporte;cotacao@adessotransporte.com.br;GOIANIA;GO
ADL Transportes;comercial@adllogistica.online;GOIANIA;GO
AFINCO;comercial@afincotransportes.com.br;GOIANIA;GO
AJ CARGO;comercial@ajcargo.com.br;GOIANIA;GO
AKILOG;comercial.sp@aki.log.br;GOIANIA;GO
ALFA CARGAS ;comercial@alfacargas.com.br;GOIANIA;GO
ALIANÇA Cargas;comercial@1aliancacargas.com.br;GOIANIA;GO
ALLIAN;comercial@alliantransportes.com.br;GOIANIA;GO
ALLIEX;alianca@alliexlog.com.br;GOIANIA;GO
ALPHATRANS;comercial@alphatranstransportadora.com.br;GOIANIA;GO
ALUV Logística;cotacao@aluvlog.com.br;GOIANIA;GO
AMAZON;ronaldo.silvino@transamazon.com.br;GOIANIA;GO
ANDRADES L.L.;cotacao@andradestransportes.com.br;GOIANIA;GO
ASA NORTE;ronaldo@logisticaasanorte.com.br;GOIANIA;GO
ASTR Transportes;logistica@astrtransportes.com.br;GOIANIA;GO
ATUEX;atuex@transatual.com.br;GOIANIA;GO
AVANTE SP;comercial@avantelogistica.com.br;GOIANIA;GO
AVIAT;comercial.sao@aviatcargo.com.br;GOIANIA;GO
AVILOG Logística;comercial1@avilogtransportes.com.br;GOIANIA;GO
AZ DE PRATA;comercial@azdepratatransportadora.com.br;GOIANIA;GO
Alternativa Transportadora;fretes@alternativatransportadora.com.br;GOIANIA;GO
BARONI;comercial02@baronitransportes.com.br;GOIANIA;GO
BCLOG Express;bclog.beatriz@bclogexpress.com.br;GOIANIA;GO
BDG Transportes;contato@bdgtransportes.com.br;GOIANIA;GO
BR LOG;comercial@brlogltda.com.br;GOIANIA;GO
BRAEX Encomedas;comercialspo@braexencomendas.com.br;GOIANIA;GO
BRAEX Logística;braex@braexlogistica.com.br;GOIANIA;GO
BRASIL EXPRESS;cotacoes@brasilexpress.srv.br;GOIANIA;GO
BRASÍLIA Encomendas;comercialbrasiliaencomendasspo@gmail.com;GOIANIA;GO
BROS Logística;comercial.spo@broslogistica.com.br;GOIANIA;GO
BÚSSOLA;cotacao.sp@bussolalogistica.com.br;GOIANIA;GO
CAMILLO dos SANTOS;sac01@camillodossantos.com.br;GOIANIA;GO
CAMPINAS Rodoviário ;awa@rodoviariocampinas.com.br;GOIANIA;GO
CARRION;reginaldo@carriontransportes.com.br;GOIANIA;GO
CASH LOG;contato@cashlogistica.com.br;GOIANIA;GO
CASTELO Rápido;cotacao@transportecastelo.com.br;GOIANIA;GO
CAVALHEIRO LOG;saopaulo@cavalheirolog.com.br;GOIANIA;GO
CAZAN;comercial@cazantransportes.com.br;GOIANIA;GO
CFG Express;contato@cfgexpress.com.br;GOIANIA;GO
CINCO R Transportes;cotacao@5rtransportes.com.br;GOIANIA;GO
CLARA Transportes;leandro@claralogistica.com.br;GOIANIA;GO
CM2 Transportes;cotacaosp@cm2.com.br;GOIANIA;GO
COMPLETA Transportes;operacional@completatransportes.com.br;GOIANIA;GO
CONTINENTE Cargas;comercial@continentecargas.com.br;GOIANIA;GO
CORDIAL Cargas;comercial@cordialcargas.com.br;GOIANIA;GO
CR LINS;crlins.operacoes@gmail.com;GOIANIA;GO
DAGO;atendimento.gru@grupodago.com.br;GOIANIA;GO
DANUBIO AZUL;comercial-sao@danubioazulcargas.com.br;GOIANIA;GO
DATA;andersonlima@datatransporte.com.br;GOIANIA;GO
DEFINITIVA Logística;comercial@definitivalog.com.br;GOIANIA;GO
DGS Logística;comercial@dgslogistica.com.br;GOIANIA;GO
DHS Express;comercial2@dhsexpress.com.br;GOIANIA;GO
DIA e NOITE;comercial@transportesdiaenoite.com.br;GOIANIA;GO
DJ Transportes;comercial@djtransportes.com;GOIANIA;GO
DL Transporte & Logística;comercial1@dltransportessp.com.br;GOIANIA;GO
DL3 LOG;comercial@dl3log.com.br;GOIANIA;GO
DLK Transportes;comercial@dlktransportes.com.br;GOIANIA;GO
ED LOG Transportes;comercial@edlogtransportes.com.br;GOIANIA;GO
ED LOG Transportes;rosana@edlogtransportes.com.br;GOIANIA;GO
EFITRANS;comercialsp@efitrans.com.br;GOIANIA;GO
EJS;cotacao@ejstransportes.com.br;GOIANIA;GO
ET-Transportes;coletassp@etlog.com.br;GOIANIA;GO
EUREKA;comercial.mtz@eurekatransportes.com.br;GOIANIA;GO
EXPIDEX;comercial2@expidex.com.br;GOIANIA;GO
Ebtrans Expresso Brasileiro;cotacao.spo@ebtrans.com.br;GOIANIA;GO
FAVORITA;umberto@favorita.com.br;GOIANIA;GO
FIEZA Cargas;comercial@fiezacargas.com.br;GOIANIA;GO
FIGUEIREDO Rápido;comercial02.spo@rapidofigueiredo.com.br;GOIANIA;GO
FRANCA EXPRESS;francaexpress@francaexpress.com.br;GOIANIA;GO
FRETEBR Cargas;cotacao@fretebr.net.br;GOIANIA;GO
FRETELOG;comercial@fretelogtransportes.com.br;GOIANIA;GO
FRETTE Intermodal;cotacao@fretteintermodal.com.br;GOIANIA;GO
FUTURA LOG;cotacao@futuralog.com.br;GOIANIA;GO
GAMPER;cotacaosp@transgamper.com.br;GOIANIA;GO
GRIDLOG;comercial.sp@gridlog.com.br;GOIANIA;GO
GUIEX;comercial@guiextransportes.com;GOIANIA;GO
GVTR Transportes;comercial@gvtrtransportes.com.br;GOIANIA;GO
HAPPENING;fabio@happening.com.br;GOIANIA;GO
HELTRAN;comercial@heltran.com.br;GOIANIA;GO
HERVI;claudia@hervi.com.br;GOIANIA;GO
IDEAL Cargas SP;comercial5@idealcargas.com;GOIANIA;GO
IDS -Logística;idslogisticagru@gmail.com;GOIANIA;GO
IMB Logística;cotacao@imblog.com.br;GOIANIA;GO
IMPAKTO;comercial.sp@impaktotransportes.com.br;GOIANIA;GO
IMPÉRIO Logística;comercial@imperiologistica.com.br;GOIANIA;GO
INTER EXPRESSA;comercial@interexpressa.com.br;GOIANIA;GO
ITAPIRENSE-BERTINI;mbuenom@terra.com.br;GOIANIA;GO
J&C;transportesjc366@gmail.com;GOIANIA;GO
JAK LOG;expressojaklogcotacoes@hotmail.com;GOIANIA;GO
JANAÚBA-GRUPO TRM;vendas4@trmlogistica.com;GOIANIA;GO
JAVE Transportes;comercial@javetransportes.com.br;GOIANIA;GO
JEM;cotacao@dfltransportes.com.br;GOIANIA;GO
JHC EXPRESS;comercial@jhcexpress.com;GOIANIA;GO
JJ2000 Transportes;saopaulo@jj2000.com.br;GOIANIA;GO
JM TRANSPORTES;jm.gerenciasp@jmtransporte.com.br;GOIANIA;GO
JOLEEMIX;expedicaosp2@jolee.com.br;GOIANIA;GO
JORTEK Express;comercial@jortek.com.br;GOIANIA;GO
JT Transportes;walquiria@jttransportes.com.br;GOIANIA;GO
JULIA Transportes;cotacao@juliatransportes.com.br;GOIANIA;GO
KADOSHI;comercial@kadoshitransportes.com.br;GOIANIA;GO
KAFENY;kafeny@kafenytransportes.com.br;GOIANIA;GO
KM Cargas;comercial@kmcargas.com.br;GOIANIA;GO
L&A Transportes;operacional@latranslog.com.br;GOIANIA;GO
LAURIMAR;comercial@laurimar.com.br;GOIANIA;GO
LDJ Logística;ldjsaopaulo@ldjlogistica.com.br;GOIANIA;GO
LEADERSHIP FREIGHT;sao@lfgex.com;GOIANIA;GO
LEOFRAN;comercial.sp@leofran.com.br;GOIANIA;GO
LFE Logística e Armazenagem;financeiro@lfelogistica.com.br;GOIANIA;GO
LGS Logística;comercial@lgslogistica.com.br;GOIANIA;GO
LILOG Express;cotacaoaereo@lilog.com.br;GOIANIA;GO
LILOG Rodoaéreo;cotacao01@lilog.com.br;GOIANIA;GO
LIMA Express;comercial1@lslimaexpress.com.br;GOIANIA;GO
LIVE LOG;comercial@livelogtrans.com.br;GOIANIA;GO
LOG EXPRESS;log-sp@logtransportes.com.br;GOIANIA;GO
LOG7 Transportes;edjaniossp@gmail.com;GOIANIA;GO
LOGAN Express;comercial@ldldistribuidora.com.br;GOIANIA;GO
LOGISTAR;comercial@logistarlog.com.br;GOIANIA;GO
LOGMED;contato@logmed.net;GOIANIA;GO
LUKS PRESS;comercial@lukspresstransportes.com.br;GOIANIA;GO
LUNA EXPRESS;contato@lunaexpress.com.br;GOIANIA;GO
LUXUS;sac@expressoluxus.com.br;GOIANIA;GO
LV Transportadora;comercial.sp@transportadoralv.com.br;GOIANIA;GO
MANDALA;cotacao@mandalatransportes.com.br;GOIANIA;GO
MCP Transportes;comercial@mcptransportes.com.br;GOIANIA;GO
METATRON;cotacao.b@metatronexpress.com.br;GOIANIA;GO
MODULAR;comercialsp@modular.com.br;GOIANIA;GO
MONTANTTE;montantte@montanttetransportes.com.br;GOIANIA;GO
MONTCAR Expresso;saopaulo@expressomontcar.com.br;GOIANIA;GO
MONTONE;vendas2@transmontone.com.br;GOIANIA;GO
MOTIVA;comercial@motivatransportes.com.br;GOIANIA;GO
MVS -Transportes;mvstransportes@hotmail.com;GOIANIA;GO
NACIONAL Cargas;comercial@nacionalcargas.com;GOIANIA;GO
NEXTLOG;comercial@nextlogsp.com.br;GOIANIA;GO
NLT Transportes;nlt@nlttransportes.com;GOIANIA;GO
NOVA BRASÍLIA;comercial@tnb.com.br;GOIANIA;GO
NR Express;comercial@nrexpress.com.br;GOIANIA;GO
OSTEL;ostel@ostel.com.br;GOIANIA;GO
OVERLOG;comercial2@overlog.com.br;GOIANIA;GO
PAPALÉGUAS;sac@papaleguasencomendas.com.br;GOIANIA;GO
PERFECT SP;comercial1@perfectsp.com.br;GOIANIA;GO
PERNAMBUCO;atendimento@pernambucotransportes.com.br;GOIANIA;GO
PETROCARGAS;cotacaosp@petrocargas.com.br;GOIANIA;GO
PETROLINA Expresso;comercial@expressopetrolina.com;GOIANIA;GO
PEXLOG;comercial.sp@pexlog.com.br;GOIANIA;GO
POTENCIAL Cargas;comercial@potencialcargas.com.br;GOIANIA;GO
PRESSÁGIO;cotacao@expressopressagio.com.br;GOIANIA;GO
PRIMORDIAL Cargas;comercial@primordialcargas.com.br;GOIANIA;GO
PROGRESSO;cotacao@progressotransportes.com.br;GOIANIA;GO
QUALY TRANS;marcos@qualytrans.net;GOIANIA;GO
R&J Transportes;cotacao@rjtransportes.com.br;GOIANIA;GO
R&M Transportes;comercial@rmlogisticasp.com.br;GOIANIA;GO
RD Expresslog;comercial3@rdexpresslog.com.br;GOIANIA;GO
REDELOG;operacional.sp@redelog.com.br;GOIANIA;GO
REFERENCIAL;referencial@referencialtransportes.com.br;GOIANIA;GO
RFC Transportes;comercial@transportesrfc.com.br;GOIANIA;GO
RG OSASCO;vendasrggo@rgtransportes.com.br;GOIANIA;GO
RG Soluções Logísticas;comercialrgsolucoes@rgtransportes.com.br;GOIANIA;GO
RHADASSA LOG;comercial@rhadassalog.com.br;GOIANIA;GO
RISPA;contato@rispatransportes.com.br;GOIANIA;GO
RLV LOG Express;cotacao@rlvlog.com.br;GOIANIA;GO
ROCHA ;comercial2@rochatransporte.com.br;GOIANIA;GO
RODOCERTO;assistente.comercial@rodocerto.com.br;GOIANIA;GO
RODOJUNIOR;rodojunior@pocos-net.com.br;GOIANIA;GO
RODONORTE;rodonorte.spo@gmail.com;GOIANIA;GO
RODOVITOR;cotacao.sp@rodovitortransportes.com.br;GOIANIA;GO
RODUART;atendimento@roduart.com.br;GOIANIA;GO
ROMERA;l.expressoromera@ig.com.br;GOIANIA;GO
RONALDO Transportes;ronaldotransportes027@gmail.com;GOIANIA;GO
RORAIMA Logística;cotacoes@roraimalog.com.br;GOIANIA;GO
ROTA BAHIA;rotabahialogistica01@gmail.com;GOIANIA;GO
RR Cargo;alex.mendes@rrcargo.com.br;GOIANIA;GO
SANTA LUZIA;atendimento@expressosantaluzia.com.br;GOIANIA;GO
SARON;cotacao@rapidosaron.com.br;GOIANIA;GO
SCARPATO;scarpatope@uol.com.br;GOIANIA;GO
SEGMA;comercial@segmatransporte.com.br;GOIANIA;GO
SJLOG Transportes;comercial@sjlogtransportes.com.br;GOIANIA;GO
SM -Sua Majestade;cotacao@suamajestade.com.br;GOIANIA;GO
SNV Cargas;snvcargas@outlook.com;GOIANIA;GO
SONIC;sacsp@sonictransportes.com.br;GOIANIA;GO
SONS Transportes;dayse.comercial@sonstransportes.com;GOIANIA;GO
SPEED Multimodal;comercial.gru@speedmultimodal.com.br;GOIANIA;GO
SPEEDY BRASIL;contato@speedybrasil.com;GOIANIA;GO
SPMax;comercial@spmaxtransportes.com.br;GOIANIA;GO
STREET;comercial@streettransportes.com.br;GOIANIA;GO
SUED Logística;comercial@suedlogistica.com;GOIANIA;GO
SUPERAÇÃO Transporte;comercialmatriz@superacaotransporte.com.br;GOIANIA;GO
SUZARTE;contatosp@suzartetransportes.com.br;GOIANIA;GO
TADEX;tadex@tadex.com.br;GOIANIA;GO
TAMBAÚ;comercial@rapidotambau.com.br;GOIANIA;GO
TB CARGO;brunno@tbcargo.com.br;GOIANIA;GO
TCM Express;gerencia.sp@expresstcm.com.br;GOIANIA;GO
TEIMALOG;comercial@teimalog.com.br;GOIANIA;GO
TESLLA;transportes@tesllalogistica.com;GOIANIA;GO
TFE ;contato@tfetransportes.com.br;GOIANIA;GO
TRAGA-Garcia São Carlos;cotacao@traga.com.br;GOIANIA;GO
TRANS DNL;comercial@transdnl.com.br;GOIANIA;GO
TRANS IMPÉRIO Rodoaéreo;cotacao@transimperio.com;GOIANIA;GO
TRANSARIMATÉIA;transarimateiabauru@uol.com.br;GOIANIA;GO
TRANSCARGA São Carlos;ttsp@terra.com.br;GOIANIA;GO
TRANSCHICÃO;coleta@transchicao.com.br;GOIANIA;GO
TRANSCORTEZ;gerenciacomercial@transcortez.com;GOIANIA;GO
TRANSDEL LOG;fabricio.comercial@transdel.net;GOIANIA;GO
TRANSFACE;comercial.sp02@transface.com.br;GOIANIA;GO
TRANSHIZZA;emerson@transhizza.com.br;GOIANIA;GO
TRANSITA;transita@transita.com.br;GOIANIA;GO
TRANSLOGAALMEIDA;translogoaalmeidasp@gmail.com;GOIANIA;GO
TRANSMISAN;compras@transmisan.com.br;GOIANIA;GO
TRANSNORTEX;comercial.sp@transnortex.com.br;GOIANIA;GO
TRANSOUZA;transouzasp@hotmail.com;GOIANIA;GO
TRANSPALOTA;cotacao@transpalota.com.br;GOIANIA;GO
TRANSPAULA;comercial@transpaula.com.br;GOIANIA;GO
TRANSPAULISTANA SP;transpaulistana.sp@hotmail.com;GOIANIA;GO
TRANSPEN Cargas;logistica@transpen.com.br;GOIANIA;GO
TRANSR Sorocaba;contato@transrsorocaba.com.br;GOIANIA;GO
TRANSTAVARES;comercial@transtavares.com;GOIANIA;GO
TRANSVOAR;comercial1@transvoar.com.br;GOIANIA;GO
TRANSWELL'S;transwells@transwells.com.br;GOIANIA;GO
TRANSZECÃO;coleta@transzecao.com.br;GOIANIA;GO
TRAVEL EXPRESS;comercial@travelexpresslog.com.br;GOIANIA;GO
TRNLOG Rodoviário Nasa;thais@trnlog.com.br;GOIANIA;GO
TRUCKS Transportes;contato@ricardotruck.com.br;GOIANIA;GO
TUPILOG;cotacao@tupilog.com.br;GOIANIA;GO
UNI BRASIL;adm@unibrasiltransportes.com.br;GOIANIA;GO
VELFRANZ LOG;velfranzlog@gmail.com;GOIANIA;GO
VIA MUNDO;contato.transvias@viamundotransportes.com.br;GOIANIA;GO
VIA SP Transporte;venancioweriton@gmail.com;GOIANIA;GO
VISÃO Transportes;visao-express@bol.com.br;GOIANIA;GO
VNT;vnt@vnttransportadora.com.br;GOIANIA;GO
VOO Transportes;comercialmtz02@vootransportes.com.br;GOIANIA;GO
VSJ Express;comercial@vsjexpress.com.br;GOIANIA;GO
WELL Rápido Well;cotacao@rapidowell.com.br;GOIANIA;GO
WINNER BRASIL;viviane.winner@winnerbrasillog.com.br;GOIANIA;GO
WRJ Logística;cotacaosp@wrjlogistica.com.br;GOIANIA;GO
X-LOG Transportes;vendas01@x-logtransportes.com.br;GOIANIA;GO
1ª AÇÃO Transportes;comercial@transportesacao.com.br;SAO-LUIS;MA
3A Logística;comercial@3alt.com.br;SAO-LUIS;MA
5 COMETAS;comercial2@5cometas.com.br;SAO-LUIS;MA
A&M LOG Transportes;comercial@amlogtransportes.com.br;SAO-LUIS;MA
ABEA Transportes;abeatransportes@abeatransportes.com.br;SAO-LUIS;MA
ACORRETA;acorreta@acorreta.com.br;SAO-LUIS;MA
ADESSO Transporte;cotacao@adessotransporte.com.br;SAO-LUIS;MA
ADL Transportes;comercial@adllogistica.online;SAO-LUIS;MA
AFINCO;comercial@afincotransportes.com.br;SAO-LUIS;MA
AJ CARGO;comercial@ajcargo.com.br;SAO-LUIS;MA
AKILOG;comercial.sp@aki.log.br;SAO-LUIS;MA
ALFA CARGAS ;comercial@alfacargas.com.br;SAO-LUIS;MA
ALIANÇA Cargas;comercial@1aliancacargas.com.br;SAO-LUIS;MA
ALLIAN;comercial@alliantransportes.com.br;SAO-LUIS;MA
ALLIEX;alianca@alliexlog.com.br;SAO-LUIS;MA
ALPHATRANS;comercial@alphatranstransportadora.com.br;SAO-LUIS;MA
ALUV Logística;cotacao@aluvlog.com.br;SAO-LUIS;MA
AMAZON;ronaldo.silvino@transamazon.com.br;SAO-LUIS;MA
ANDRADES L.L.;cotacao@andradestransportes.com.br;SAO-LUIS;MA
ASA NORTE;ronaldo@logisticaasanorte.com.br;SAO-LUIS;MA
ASTR Transportes;logistica@astrtransportes.com.br;SAO-LUIS;MA
ATUEX;atuex@transatual.com.br;SAO-LUIS;MA
AVANTE SP;comercial@avantelogistica.com.br;SAO-LUIS;MA
AVIAT;comercial.sao@aviatcargo.com.br;SAO-LUIS;MA
AVILOG Logística;comercial1@avilogtransportes.com.br;SAO-LUIS;MA
AZ DE PRATA;comercial@azdepratatransportadora.com.br;SAO-LUIS;MA
Alternativa Transportadora;fretes@alternativatransportadora.com.br;SAO-LUIS;MA
BARONI;comercial02@baronitransportes.com.br;SAO-LUIS;MA
BCLOG Express;bclog.beatriz@bclogexpress.com.br;SAO-LUIS;MA
BDG Transportes;contato@bdgtransportes.com.br;SAO-LUIS;MA
BR LOG;comercial@brlogltda.com.br;SAO-LUIS;MA
BRAEX Encomedas;comercialspo@braexencomendas.com.br;SAO-LUIS;MA
BRAEX Logística;braex@braexlogistica.com.br;SAO-LUIS;MA
BRASIL EXPRESS;cotacoes@brasilexpress.srv.br;SAO-LUIS;MA
BRASÍLIA Encomendas;comercialbrasiliaencomendasspo@gmail.com;SAO-LUIS;MA
BROS Logística;comercial.spo@broslogistica.com.br;SAO-LUIS;MA
BÚSSOLA;cotacao.sp@bussolalogistica.com.br;SAO-LUIS;MA
CAMILLO dos SANTOS;sac01@camillodossantos.com.br;SAO-LUIS;MA
CAMPINAS Rodoviário ;awa@rodoviariocampinas.com.br;SAO-LUIS;MA
CARRION;reginaldo@carriontransportes.com.br;SAO-LUIS;MA
CASH LOG;contato@cashlogistica.com.br;SAO-LUIS;MA
CASTELO Rápido;cotacao@transportecastelo.com.br;SAO-LUIS;MA
CAVALHEIRO LOG;saopaulo@cavalheirolog.com.br;SAO-LUIS;MA
CAZAN;comercial@cazantransportes.com.br;SAO-LUIS;MA
CFG Express;contato@cfgexpress.com.br;SAO-LUIS;MA
CINCO R Transportes;cotacao@5rtransportes.com.br;SAO-LUIS;MA
CLARA Transportes;leandro@claralogistica.com.br;SAO-LUIS;MA
CM2 Transportes;cotacaosp@cm2.com.br;SAO-LUIS;MA
COMPLETA Transportes;operacional@completatransportes.com.br;SAO-LUIS;MA
CONTINENTE Cargas;comercial@continentecargas.com.br;SAO-LUIS;MA
CORDIAL Cargas;comercial@cordialcargas.com.br;SAO-LUIS;MA
CR LINS;crlins.operacoes@gmail.com;SAO-LUIS;MA
DAGO;atendimento.gru@grupodago.com.br;SAO-LUIS;MA
DANUBIO AZUL;comercial-sao@danubioazulcargas.com.br;SAO-LUIS;MA
DATA;andersonlima@datatransporte.com.br;SAO-LUIS;MA
DEFINITIVA Logística;comercial@definitivalog.com.br;SAO-LUIS;MA
DGS Logística;comercial@dgslogistica.com.br;SAO-LUIS;MA
DHS Express;comercial2@dhsexpress.com.br;SAO-LUIS;MA
DIA e NOITE;comercial@transportesdiaenoite.com.br;SAO-LUIS;MA
DJ Transportes;comercial@djtransportes.com;SAO-LUIS;MA
DL Transporte & Logística;comercial1@dltransportessp.com.br;SAO-LUIS;MA
DL3 LOG;comercial@dl3log.com.br;SAO-LUIS;MA
DLK Transportes;comercial@dlktransportes.com.br;SAO-LUIS;MA
DMARI;gerenciasp1@dmarilogistica.com.br;SAO-LUIS;MA
ED LOG Transportes;comercial@edlogtransportes.com.br;SAO-LUIS;MA
ED LOG Transportes;rosana@edlogtransportes.com.br;SAO-LUIS;MA
EFITRANS;comercialsp@efitrans.com.br;SAO-LUIS;MA
EJS;cotacao@ejstransportes.com.br;SAO-LUIS;MA
ENTREGA JÁ;comercial.sp@entregaja.com.br;SAO-LUIS;MA
ET-Transportes;coletassp@etlog.com.br;SAO-LUIS;MA
EUREKA;comercial.mtz@eurekatransportes.com.br;SAO-LUIS;MA
EXPIDEX;comercial2@expidex.com.br;SAO-LUIS;MA
Ebtrans Expresso Brasileiro;cotacao.spo@ebtrans.com.br;SAO-LUIS;MA
FAVORITA;umberto@favorita.com.br;SAO-LUIS;MA
FIEZA Cargas;comercial@fiezacargas.com.br;SAO-LUIS;MA
FIGUEIREDO Rápido;comercial02.spo@rapidofigueiredo.com.br;SAO-LUIS;MA
FRANCA EXPRESS;francaexpress@francaexpress.com.br;SAO-LUIS;MA
FRETEBR Cargas;cotacao@fretebr.net.br;SAO-LUIS;MA
FRETELOG;comercial@fretelogtransportes.com.br;SAO-LUIS;MA
FRETTE Intermodal;cotacao@fretteintermodal.com.br;SAO-LUIS;MA
FUTURA LOG;cotacao@futuralog.com.br;SAO-LUIS;MA
GAMPER;cotacaosp@transgamper.com.br;SAO-LUIS;MA
GRIDLOG;comercial.sp@gridlog.com.br;SAO-LUIS;MA
GUIEX;comercial@guiextransportes.com;SAO-LUIS;MA
GVTR Transportes;comercial@gvtrtransportes.com.br;SAO-LUIS;MA
HAPPENING;fabio@happening.com.br;SAO-LUIS;MA
HELTRAN;comercial@heltran.com.br;SAO-LUIS;MA
HERVI;claudia@hervi.com.br;SAO-LUIS;MA
IDEAL Cargas SP;comercial5@idealcargas.com;SAO-LUIS;MA
IDS -Logística;idslogisticagru@gmail.com;SAO-LUIS;MA
IMB Logística;cotacao@imblog.com.br;SAO-LUIS;MA
IMPAKTO;comercial.sp@impaktotransportes.com.br;SAO-LUIS;MA
IMPÉRIO Logística;comercial@imperiologistica.com.br;SAO-LUIS;MA
INTER EXPRESSA;comercial@interexpressa.com.br;SAO-LUIS;MA
ITAPIRENSE-BERTINI;mbuenom@terra.com.br;SAO-LUIS;MA
J&C;transportesjc366@gmail.com;SAO-LUIS;MA
JAK LOG;expressojaklogcotacoes@hotmail.com;SAO-LUIS;MA
JANAÚBA-GRUPO TRM;vendas4@trmlogistica.com;SAO-LUIS;MA
JAVE Transportes;comercial@javetransportes.com.br;SAO-LUIS;MA
JEM;cotacao@dfltransportes.com.br;SAO-LUIS;MA
JHC EXPRESS;comercial@jhcexpress.com;SAO-LUIS;MA
JJ2000 Transportes;saopaulo@jj2000.com.br;SAO-LUIS;MA
JM TRANSPORTES;jm.gerenciasp@jmtransporte.com.br;SAO-LUIS;MA
JOLEEMIX;expedicaosp2@jolee.com.br;SAO-LUIS;MA
JORTEK Express;comercial@jortek.com.br;SAO-LUIS;MA
JT Transportes;walquiria@jttransportes.com.br;SAO-LUIS;MA
JULIA Transportes;cotacao@juliatransportes.com.br;SAO-LUIS;MA
KADOSHI;comercial@kadoshitransportes.com.br;SAO-LUIS;MA
KAFENY;kafeny@kafenytransportes.com.br;SAO-LUIS;MA
KM Cargas;comercial@kmcargas.com.br;SAO-LUIS;MA
L&A Transportes;operacional@latranslog.com.br;SAO-LUIS;MA
LAURIMAR;comercial@laurimar.com.br;SAO-LUIS;MA
